tpep_pickup_datetime,tpep_dropoff_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude
1/1/2016 0:01,1/1/2016 0:09,-73.93431854,40.75148392,-73.97251129,40.76491547
1/1/2016 0:01,1/1/2016 0:31,-73.78192139,40.64476013,-73.97924805,40.66186905
1/1/2016 0:01,1/1/2016 0:34,-73.95953369,40.78274536,-73.99375916,40.74558258
1/1/2016 0:01,1/1/2016 0:13,-73.95264435,40.77649689,-74.00563812,40.7091217
1/1/2016 0:01,1/1/2016 0:03,-73.9956131,40.76467133,-73.99214935,40.76414871
1/1/2016 0:01,1/1/2016 0:13,-73.97743225,40.75831604,-73.98344421,40.76686096
1/1/2016 0:01,1/1/2016 0:11,-73.927742,40.69787216,-73.96121216,40.69827652
1/1/2016 0:01,1/1/2016 0:03,-73.96659088,40.75758743,-73.96577454,40.75434875
1/1/2016 0:01,1/1/2016 0:15,-73.95474243,40.76550674,-73.98191833,40.76623154
1/1/2016 0:01,1/1/2016 0:03,-73.99769592,40.73765945,-73.99124146,40.73498154
1/1/2016 0:01,1/1/2016 0:07,-73.96755219,40.75685883,-73.97830963,40.74861145
1/1/2016 0:01,1/1/2016 0:14,-73.96469879,40.79679871,-74.0022049,40.74923706
1/1/2016 0:01,1/1/2016 0:13,-73.97010803,40.75979996,-73.98935699,40.74298859
1/1/2016 0:01,1/1/2016 0:12,-74.00189972,40.73940659,-73.97486877,40.74438858
1/1/2016 0:01,1/1/2016 0:06,-73.95522308,40.80437851,-73.96369934,40.79800034
1/1/2016 0:01,1/1/2016 0:27,-73.99662781,40.72460175,-73.86997986,40.75529099
1/1/2016 0:01,1/1/2016 0:10,-74.00466919,40.71595764,-73.98986053,40.73404312
1/1/2016 0:01,1/1/2016 0:09,-73.94828033,40.78263092,-73.9384613,40.79228973
1/1/2016 0:01,1/1/2016 0:09,-73.99861145,40.73817062,-73.99459076,40.75054932
1/1/2016 0:01,1/1/2016 0:23,-73.97226715,40.75986481,-73.87660217,40.74866486
1/1/2016 0:01,1/1/2016 0:09,-73.95974731,40.80129242,-73.95064545,40.8229332
1/1/2016 0:01,1/1/2016 0:21,-73.97940063,40.73976898,-73.99954987,40.74251938
1/1/2016 0:01,1/1/2016 0:05,-73.97293091,40.75260162,-73.95585632,40.77605057
1/1/2016 0:01,1/1/2016 0:10,-73.97964478,40.76019669,-73.97485352,40.75374222
1/1/2016 0:01,1/1/2016 0:19,-73.99504089,40.76044846,-73.93881226,40.79938507
1/1/2016 0:01,1/1/2016 0:13,-73.97683716,40.76459122,-73.95410156,40.80475998
1/1/2016 0:01,1/1/2016 0:12,-74.00095367,40.73083878,-74.0172348,40.70491791
1/1/2016 0:01,1/1/2016 0:35,-73.97439575,40.76387787,-73.99926758,40.72816086
1/1/2016 0:01,1/1/2016 0:02,-73.95517731,40.77317429,-73.95623016,40.77203751
1/1/2016 0:01,1/1/2016 0:14,-73.98986816,40.72937012,-73.98392487,40.74564743
1/1/2016 0:01,1/1/2016 0:25,-73.96961212,40.75771332,-73.90223694,40.70281219
1/1/2016 0:01,1/1/2016 0:29,-74.00241852,40.73323441,-73.92458344,40.69191742
1/1/2016 0:01,1/1/2016 0:10,-73.97177124,40.7598381,-73.98751831,40.74872208
1/1/2016 0:01,1/1/2016 0:05,-73.94184875,40.82948303,-73.93864441,40.83986664
1/1/2016 0:01,1/1/2016 0:12,-74.01052094,40.71841049,-73.99134827,40.74520874
1/1/2016 0:01,1/1/2016 0:25,-74.00708771,40.71913147,-73.98757935,40.74988937
1/1/2016 0:01,1/1/2016 0:14,-73.99446869,40.71897888,-73.95662689,40.6743927
1/1/2016 0:01,1/1/2016 0:13,-73.98499298,40.77389145,-73.93649292,40.84777069
1/1/2016 0:01,1/1/2016 0:05,-73.86269379,40.76873016,-73.87529755,40.77035904
1/1/2016 0:01,1/1/2016 0:15,-73.99803162,40.71966934,-73.98390961,40.73180008
1/1/2016 0:01,1/1/2016 0:37,-73.79447937,40.65715027,-73.88738251,40.65415955
1/1/2016 0:01,1/1/2016 0:15,0,0,0,0
1/1/2016 0:01,1/1/2016 0:18,-74.00284576,40.73115158,-73.973526,40.74871063
1/1/2016 0:01,1/1/2016 0:19,-73.97858429,40.76258087,-73.96331024,40.79871368
1/1/2016 0:01,1/1/2016 0:09,-73.99577332,40.75932312,-73.99487305,40.75030136
1/1/2016 0:01,1/1/2016 0:08,-74.00505066,40.7399559,-73.98983765,40.72943497
1/1/2016 0:01,1/1/2016 0:08,-73.99897003,40.73460007,-73.98368073,40.72577667
1/1/2016 0:01,1/1/2016 0:20,0,0,0,0
1/1/2016 0:01,1/1/2016 0:26,-73.97367096,40.7845192,-73.9881897,40.73197174
1/1/2016 0:01,1/1/2016 0:25,0,0,0,0
1/1/2016 0:01,1/1/2016 0:03,-73.97333527,40.76407242,-73.97485352,40.76173401
1/1/2016 0:01,1/1/2016 0:35,-73.97849274,40.76217651,-73.96108246,40.66745377
1/1/2016 0:01,1/1/2016 0:06,-73.99783325,40.74491501,-73.99201202,40.7385025
1/1/2016 0:01,1/1/2016 0:08,-73.95558929,40.76404953,-73.96797943,40.76241302
1/1/2016 0:01,1/1/2016 0:45,-73.98835754,40.72014236,-73.96884918,40.79058075
1/1/2016 0:01,1/1/2016 0:06,-73.99267578,40.72039032,-74.00337219,40.70816803
1/1/2016 0:01,1/1/2016 0:20,-74.01483917,40.71460724,-73.98752594,40.74550247
1/1/2016 0:01,1/1/2016 0:17,-73.94416809,40.78807449,-73.98552704,40.74725723
